0:0:0:0:0:0:0:1 - - [05/May/2021:21:08:24 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/main.jsp HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/js/bootstrap.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:29 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:32 +0900] "GET /text/bbs.jsp HTTP/1.1" 200 2198
0:0:0:0:0:0:0:1 - - [05/May/2021:21:28:33 +0900] "GET /text/main.jsp HTTP/1.1" 200 2805
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:53 +0900] "GET /text/main.jsp HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:53 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:53 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/main.jsp HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/images/door.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/images/campus.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:54 +0900] "GET /text/images/info.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/main.jsp HTTP/1.1" 200 2812
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [05/May/2021:21:33:55 +0900] "GET /text/css/custom.css HTTP/1.1" 304 -
